NAMA KABUPATEN,NAMA DESA,DAYA TARIK,DESKRIPSI,ALAMAT LENGKAP,STATUS,EVENT,MAKANAN,KERAJINAN,KESENIAN,HOMESTAY,PENGELOLA,JARAK PUSAT KOTA,KONDISI JALAN,PAPAN PENUNJUK ARAH,foto_desa
Banjarnegara,Dewi Sri,"Minat Khusus (Tubing, Out Bound)",Inisiatif masyarakat untuk mendirikan Desa Wisata karena adanya potensi wisata,"Desa Winong, Kec. Bawang",Berkembang,Tidak Ada,"Kripik Tempe, Tahu Bakso",Tidak Ada,"Tek-tek, Kuda Lumping",Tidak Ada,Pokdarwis/Dewi Sri,10 Km,Baik,Ada,placeholder.jpg
Banjarnegara,Wana Pesona (Desa Singamerta),Agro Durian dan Salak,Desa Wisata berbasis Agrowisata dengan unggulan Festival Durian Dirun,Desa Singamerta Kec. Sigaluh,Berkembang,Festival Durian Ndirun,"Pancake Durian, Kopi Durian, Jenang Durian","Pembuat Cobek, Kuda Kepang, Gamelan",Tek-tek,"6 rumah, Jumlah Kamar: 12 Kapasitas 25 orang",Pokdarwis,6 Km,Baik,Tidak Ada,placeholder.jpg
Banjarnegara,Desa Wisata Bitingan,"Air Terjun Panas Sirawe, Pemandian Air Panas Alami, Sunrise Bunen","Kepakisan, Batur, Banajrnegara, Jawa Tengah",Tidak Ada,Tidak Ada,"Terong Belanda, Aapem Dieng, Buntil Daun Kool, Jenang Kacang, Manisan Buah Carica",Kerajinan Bambu Kenjani,"Kesenian Tradisional Rodad, Tek-tek, Marawis",Tidak Ada,Pokdarwis KEPAKISAN,Tidak Ada,Tidak Ada,Tidak Ada,placeholder.jpg
Banjarnegara,Desa Rakitan,Goa Alam Watu Payung, Parung sungai merawu, Curug air terjun sauk,Desa Rakitan kecamatan Madukara Kabupaten Bajarnegara,Tidak Ada,Tidak Ada,"tumpeng punar uduk, panggang mas, sayur besengek, sayur rontak-rontek, pecel lele sambal salak, nasi jagung, minuman kopi jembawuk, air degan hangat dan kelapa muda",Tidak Ada,"Santi swara, Embleg (kuda kepang), kotekan lesung (tektek)",Tidak Ada,Pokdarwis,6 Km,Tidak Ada,Tidak Ada,placeholder.jpg
Banjarnegara,Desa Wisata Pesangkalan,"Curug Pletuk, Curug Muncar, Kebun Kopi, Watu Desel, Tubing","Pesangkalan RT 01/01, Kec. Pagedongan, Kab Banjarnegara",Tidak Ada,Sowan Ngalas,Nasi Inthil,Topeng Kayu,Kuda Kepang (Ebeg),Tidak Ada,Pokdarwis,Tidak Ada,Tidak Ada,Tidak Ada,placeholder.jpg
Banjarnegara,Desa Blambangan,Curug Blimbing,"Desa Blambangan merupakan salah satu desa di Kecamatan Bawang Kabupaten Banjarnegara Propinsi Jawa Tengah. Secara geografis desa Blambangan berjarak 5 km dari ibu kota Kabupaten dan berada di jalur jalan Nasional Banjarnegara – Purwokerto. Dengan luas wilayah kurang lebih 330,8 hektar.","Desa Blambangan, Kecamatan Bawang, Kabupaten Banjarnegara, Jawa Tengah",Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,5 km,Tidak Ada,Tidak Ada,placeholder.jpg
Banjarnegara,Berta,Pemandangan alam dengan konsep panjat tebing, curug dan agro wisata serta wisata edukasi,"Desa Wisata Damarwulan adalah kawasan wisata terpadu seluas 99 Ha Terdiri dari dataran dan pegunungan dengan ketinggian 230 s/d 420 mdpl. Pemandangan alam yang sangat indah dengan sungai dan curug yang jernih diantara pegunungan dan sawah – sawah yang exotis dan menarik untuk dinikmati. Wisatawan tidak hanya bisa menikmati pemandangan alam tapi juga terdapat wisata buatan diantaranya outbond, agrowisata, panjat tebing dengan pegunungan batu yang menjulang serta disuguhi kesenian lokal dan paket wisata yang lain.","Desa Berta, Kec. Susukan, Kab Banjarnegara",Berkembang,Tidak Ada,"Nasi merah, ondol, oyek, cimplung, sayur teri, jangan bung, jangan baladewa dan gatotkaca, gula merah, gula aren","Bulu mata, rambut palsu, bithi, pembuatan tas, bata merah",Kothekan lesung,"6 rumah, Jumlah Kamar: 24 kapasitas: 50 orang",Pokdarwis Damarwulan,35 Km,"Baik dan rusak, panjang jalan rusak 1,3 Km",Ada,placeholder.jpg
Banyumas,Karangsalam,Curug Telu,"Secara administrasi desa Karangsalam termasuk dalam wilayah kecamatan Baturaden Kabupaten Banyumas. Dari ibukota kecamatan Baturraden berjarak kurang lebih 3 km, yang dapat ditempuh dengan angkutan umum dalam waktu 10 menit, dari pusat Kabupaten Banyumas berjarak 15 km, waktu tempuh kurang lebih 30 menit",Desa Karangsalam Kec. Baturraden,Berkembang,Nyadran/grebeg sadranan,Nasi Nyangku,Kerajinan Akar Rotan,Calung Remaja,"25, Jumlah Kamar: 50, Kapasitas: 115 orang",Pokdarwis Tirta Kamulyan,15 km,Baik,Ada,placeholder.jpg
Banyumas,Kalisalak,"Curug Song, Bukit Mbulu","Kebasen adalah sebuah kecamatan di Kabupaten Banyumas, Provinsi Jawa Tengah, Indonesia. Kecamatan Kebasen merupakan kecamatan dibagian selatan Kabupaten Banyumas. Kecamatan Kebasen berjarak 23 Km berkendara dari ibukota Kabupaten Banyumas yaitu Purwokerto melalui Kecamatan Patikraja. Kecamatan Kebasen termasuk kecamatan yang ramai karena merupakan pertemuan jalan nasional lintas selatan dan tengah yang menghubungkan wilayah Jawa Barat dan Pantura melalui Purwokerto dari arah barat dengan Kabupaten Cilacap dan wilayah ditimur seperti Kecamatan Sumpiuh hingga ke Kabupaten Kebumen, Daerah Istimewa Yogyakarta dan Jawa Timur.",Desa Kalisalak Kecamatan Kebasen Kabupaten Banyumas,Berkembang,Penjamasan Jimat,Cimplung,Gula merah,Ebeg (Kuda kepang),Tidak Ada,Pokdarwis Pesona Kalisalak,22 km,"rusak, Panjang jalan rusak: 3 km",Ada,placeholder.jpg
Batang,Desa Kembanglangit,"Pegunungan, Hutan Pinus","Desa kembanglangit adalah desa yang berada di wilayah Kecamatan Blado Kabupaten Batang Jawa Tengah Indonesia. Desa Kembanglangit juga berada di wilayah Hutan Pinus KPH Pekalongan Timur. Dengan kondisi alam yang sebagian besar adalah wilayah hutan pinus menjadikan desa Kembanglangit mempunyai potensi untuk dijadikan wisata alam. Jalan berkelok, Ketinggian tempat, Udara sejuk, Asri dan masih Alami tentunya.","JL. Raya Bandar-Batur Km 07 Blado Batang",Berkembang,Tidak Ada,Nasi Jagung Sambel Torek,Tidak Ada,"Kesenian Kuntul, Lengger, Dengklung","1, Jumlah Kamar 3",Pokdarwis Bombat,Km,Baik,Ada,placeholder.jpg
Batang,Desa Wisata Pandansari,"Tubing, Rafting, Outbound, Camping, Hiking",Tidak Ada,Tidak Ada,Berkembang,Tidak Ada,Opak Sambal,Tidak Ada,"Seni Angklung, Tari Denok Deblong","15, Jumlah Kamar: 15","Pokdawis KOPAL “ETOM”",Km,Baik,Ada,placeholder.jpg
Batang,Keteleng,Perkebunan Teh,"Jika sesekali Anda singgah di Kabupaten Batang, sempatkanlah untuk datang ke Kawasan Agrowisata Pagilaran. Hamparan pohon teh yang membentang sejauh mata memandang ditingkahi hembusan angin yang membawa hawa sejuk dijamin bisa menahan Anda untuk berlama-lama. Terletak di Kecamatan Blado, kecamatan paling selatan Kabupaten Batang, Pagilaran dapat dicapai dengan kendaraan pribadi ataupun kendaraan umum dalam waktu tidak lebih dari 1 jam dari pusat kota Batang.","Dk. Pagilaran, Ds. Keteleng, Kec. Blado, Kab. Batang",Berkembang,Tidak Ada,"Nasi Jagung, Opak","Kerajinan dari limbah pohon teh, Panahan, Dll","Lengger, Leak","7 tujuh, Jumlah Kamar: 41 Kamar",Pokdarwis Mustika Kamulyan,Km,Baik,Ada,placeholder.jpg
Batang,Desa Bawang,Genting Asri,Tidak Ada,Jalan Raya Curug Genting Desa Bawang - Blado - Batang,Tidak Ada,Sedekah Nasi Jagung,Nasi Jagung,Acsesories ringan,Lengger Budoyo,Tidak Ada,Pokdarwis Genting Asri,Tidak Ada,Tidak Ada,Tidak Ada,placeholder.jpg
Batang,Desa Wisata Silurah,"Air Terjun Kalirogno, Air Terjun Bidadari, Puncak Gunung Kobar","Desa Silurah, Kec. Wonotunggal Kab. Batang",Tidak Ada,Nyadran Gunung Rogokusumo,"Kopi Silurah, Gones, Teh Silurah","Kerajinan Angklung, Kerajinan Tanaman Hias Parijotho","Kesenian Kuda Lumping, Kesenian Karawitan / Campur Sari",6 Home Stay,Pokdarwis “Ganesha”,Tidak Ada,Tidak Ada,Tidak Ada,placeholder.jpg
Batang,Mustika Kamulyan,Perkebunan teeh,"Dk. Pagilaran, Ds. Keteleng, Kec. Blado, Kab. Batang",Tidak Ada,Festival Kesenian Tradisional & Sedekah Air,Nasi Jagung,Pemanfaatan Limbah Pohon Teh,Lengger & Tari Petik,5 Home Stay,Pokdarwis Mustika Kamulyan,Tidak Ada,Tidak Ada,Tidak Ada,placeholder.jpg
Blora,Desa Tunjungan,Cemoro Pitu,"Desa tunjungan memiliki beberapa Daya Tarik Wisata berupa cemoro pitu, waduk greneng, kampung durian Ngalwungan dan Agrowisata Klapanan",Desa Tunjungan Kec. Tunjungan Kab. Blora,Potensi,Festival Durian Nusantara,Ayam bakar Mbah Jami,Tidak Ada,Barongan,Tidak Ada,Pokdarwis Tunjungan,14 Km,"rusak, Panjang jalan rusak: 5 Km",Tidak Ada,placeholder.jpg
Boyolali,Desa Wisata Kemasan “DEWA EMAS”,mata air dan lahan pertanian,"Desa Wisata Kemasan “DEWA EMAS” adalah sebuah desa yang terletak dikecamatan Sawit, Kabupaten Boyolali","Desa Kemasan, Kecamatan Sawit, Kabupaten Boyolali",Berkembang,Kirab Budaya,Krupuk Kangkung dan Jamu,Anyaman Bambu,"Karawitan, Rondo Tektek dan Tari Topeng Ireng","5 Jumlah kamar: 8 kapasitas: 16 orang",BUMDes dan Pokdarwis,20 Km,Baik,Ada,placeholder.jpg
Boyolali,Desa Wisata Lencoh,Merapi-Merbabu trakking,"Desa Wisata Lencoh Terletak di lereng, merapi dan Merbabu, wisata minat khusus trakking Merapi menjadi andalan","Desa Lencoh, Kecamatan Selo, Kabupaten Boyolali",Berkembang,Sedekah Gunung Merapi,"Bubur Centung, Jatah Tempe",Tidak Ada,Kesenian Rakyat “Turonggo Setu”,"5 Jumlah kamar: 10 kapasitas: 20 orang",Merapi - Merbabu,20 Km,Baik,Ada,placeholder.jpg
Boyolali,Desa Wisata Suroteleng,"Gardu Pandang Bukit Batur, Tanjakan langit","Desa Wisata Suroteleng berada di lereng gunung merapi ketinggian 1400 mdpl, suhu 18, Menawarkan gardu pandang, bukit kapur, observasi elang jawa, tanjakan langit","Desa Suroteleng, Kecamatan Selo, Kabupaten Boyolali",Berkembang,Sedekah Gunung Merapi,"Jadah, Tempe Bacem",Tidak Ada,Kesenian Tradisional Rodat,Tidak Ada,Pokdawis Suroteleng,20 Km,Baik,Ada,placeholder.jpg
Boyolali,Desa Wisata Dewi Sambi,Gunung Merapi dan Merbabu,"Desa wisata yang terletak diantara lembah gunung merapi dan gunung merbabu kabupaten Boyolali, pada ketinggian ± 1600 Mdpl, Menawarkan Kegiatan Trekking gunung merapi dan gunung merbabu","Desa Samiran, Kecamatan Selo, Kabupaten Boyolali.",Berkembang,"Sedekah gunung merapi, sadranan","Jadah bakar, sayur centung, olahan susu, (permen dan dodol), kripik sayuran",kerajinan dari bambu,"Tari soreng, turonggo setu, topeng ireng","50 Jumlah kamar: 150 kapasitas: 300",Desa Wisata Dewi Sambi Samiran,20 Km,Baik,Ada,placeholder.jpg
Boyolali,Desa Wisata Wono Semar,Konservasi Hutan Lindung,"Wonosemar terletak di Kecamatan Simo, memiliki kawasan hutan yang sangat memiliki konservasi hitan lindung.","Desa Pentur, Kecamatan Simo",Berkembang,Kirab Budaya,Gethuk Telo,Anyaman Bambu,Tari Rakyat Wayang berjarak,"3 Jumlah kamar: 6 kapasitas: 12 orang",pokdarwis pentur,15 Km,Baik,Ada,placeholder.jpg
Boyolali,Desa Wisata “ARGA KENCANA”,"Lahan Pertanian Sayuran, Wisata Alam Gunung Merbabu","Desa Wisata “ARGA KENCANA” adalah sebuah Desa yang terletak di daerah pegunungan dengan suasana yang Sejuk dan menyuguhkan pemandangan Merapi dan merbabu, dengan memiliki daya tarik pertanian sayuran dan beraneka ragam seni dan budaya","Desa Selo, Kecamatan Selo, Kabupaten Boyolali",Potensi,"Ritual Sedekah Sumber Air pelaksanaan Safar (Kalender Jawa), Sadranan Pelaksanaan (Ruwah, Syuro, Safar) Kalender Jawa","Makanan Ringan olahan berbahan Sayuran, Kripik Tales, Bobor Centung, Kesemek, Sambal Tumpang",Pembuatan pakaian Topeng Ireng,Tidak Ada,10 Homestay,Desa Wisata “ARGA KENCANA”,20 Km,Baik,Ada,placeholder.jpg
Boyolali,Paras,Tidak Ada,"Pesanggrahan didirikan oleh sunan PB VI. Sekitar tahun 1803-1804 pesanggrahan tersebut merupakan bangunan megah. Pada tahun 1817 pesanggrahan digunakan sebagai tempat istirahat saat beliau melawat ke wilayah bagian barat serta menikmati keindahan alam dan melihat hasil perkebunan kopi saat itu.","Desa, Paras, Kecamatan Cepogo, Boyolali",Potensi,"Kirab Budaya Bulan Asyura, budaya sadranan masyarakat desa Paras dan sekitarnya","Sagon, aneka makanan olahan berbahan baku susu sapi",Tidak Ada,"Seni Tari, Rodat Nusantara","5 Jumlah kamar: 7 kapasitas: 14 orang",Pokdarwis Mawar Biru,7 Km,Baik,Ada,placeholder.jpg
Brebes,Malahayu,Pemandangan Waduk malahayu,"Desa Malahayu merupakan salah satu dari 292 desa di Kabupaten Brebes yang sebagian besar penduduknya bermata pencaharian sebagai petani, buruh harian lepas, peternak, pengrajin gerabah, dll","Desa Malahayu, Kecamatan Banjar Harjo, Kabupaten Brebes",Potensi,Tidak Ada,"Me’ndo, Tape Ketan Daun Jambu",Keramik Malahayu,Hoe Gelo (Rotan Gila),"20 Jumlah Kamar: 30 Kapasitas: 70 orang",Pokdarwis/Desa/BUMDes,45 Km,Baik,Ada,placeholder.jpg
Brebes,"Desa Kaliwlingi, Brebes",Hutan Mangrove,Bencana Sebagai Berkah dengan Menanam untuk meningkatkan ekonomi selaras alam.,Dukuh Pandansari Desa Kaliwlingi Kec. Brebes Kab. Brebes,Berkembang,"Jambore Mangrove, Rajah Bumi dan Air, Merti Bumi, Festival Pesisir, Sedekah Laut","Aneka olahan berbahan dasar ikan, Opak Bodin Aneka Rasa, Kuliner laut nikan, udang, kepiting, kerang, urab anglur, Kue mangrove, Jipang, rengginang udang, cumi, Kepiting dan legram","pemanfaatan limbah kerang untuk souvenir, batik mangrove pewarna alami.",Sintren,20 Jumlah Kamar,Pokdarwis,"8,37 Km",Baik,Ada,placeholder.jpg
Brebes,Pandansari,"Telaga Ranjeng, Wadas Kaca, Wisata Pertanian","Pandansari adalah desa di kecamatan Paguyangan, Brebes, Jawa Tengah, Indonesia. Desa ini berada di sekitar 14 kilometer arah timur dari pusat pemerintah kecamatan. Paguyangan Mayoritas penduduk desa Pandansari bekerja di sektor pertanian, yakni sayur mayur.","Pandansari, Paguyangan, Brebes, Jawa Tengah",Berkembang,"Bobor daun waluh, Olahan jamur dan Kentang",Tidak Ada,Tidak Ada,Tidak Ada,"20 Jumlah Kamar: 35 Kapasitas: 70 orang",Pokdarwis/Desa kamdo,64 Km,Baik,Ada,placeholder.jpg
Brebes,Desa Wisata Winduasri,Ngabaur Jeung Alam (Menyatu Bersama Alam),"Desa Winduasri merupakan salah satu desa dari 21 desa di Kecamatan Salem kabupaten Brebes, Karena budaya gotong royong di desa ini sangat kental dan hubungan antara masyarakat dengan Aparat desa serta desa dengan Kecamatan dan Kabupaten sudah terjalin baik tak heran desa ini jalan dalam desanya sudah diaspal dan tempat musyawarah dengan lapisan masyarakat setempat.","Ds. Winduasri Kec. Salem. Kab. Brebes Jawa Tengah",Berkembang,"Tape Ketan, Sale Pisang, Lahang, Sayur Pakis","Anyaman bambu, Caping Lontar",Tari jaipong,Tidak Ada,"20 Jumlah Kamar: 20 Kapasitas: 40 orang",Pokdarwis/Desa RANTO CANYON,64 Km,"rusak, Panjang jalan rusak: 5 Km",Ada,placeholder.jpg
Brebes,Kampung Adat Jalawastu,Tidak Ada,"Kampung Budaya Jalawastu merupakan sebuah komunitas adat masyarakat yang berada di antara lereng Gunung Kumbang dan Gunung Sagara, Komunitas ini melestarikan sebuah tradisi Sunda Jawa.","Desa Ciseureh, Kec. Ketanggungan. Kab. Brebes",Berkembang,Ngasa,Nasi Jagung,Tidak Ada,Hoe Gelo (Rotan Gila),"6 Jumlah Kamar: 12 Kapasitas: 24 orang",Pokdarwis/Desa Dastam,60 Km,"rusak, Panjang jalan rusak: 5 Km",Ada,placeholder.jpg
Brebes,Kampung Wisata Limbangan Wetan,Tidak Ada,"Berdasar cerita tutur tinular sesepuh desa, asal mula Desa Limbangan tidak bisa dipisahkan dengan jaman kolonial Belanda. Berdirinya Desa Limbangan karena perjuangan dari nenek moyang yang bubak yoso (babat hutan) yang dulunya merupakan alas gong liwang liwung (hutan rimba).","Kelurahan Limbangan Wetan, Kec. Brebes, Kab. Brebes",Potensi,Tidak Ada,"Telor Asin, Bandeng Presto, Bawang Goreng","Pengrajin Rambut (Sanggul, Wig), Accesoris Manik-manik",Tidak Ada,"6 Jumlah Kamar: 12 Kapasitas: 24 orang",Pokdarwis/Desa Dastam,60 Km,Rusak,Ada,placeholder.jpg
Cilacap,Karangbanar,"Pantai/ Laut, Pemancingan alam muara kali ijo","Desa Wisata Karangbanar terletak di wilayah Paling timur Kabupaten Cilacap yang merupakan Daerah tujuan wisatawan dari berbagai penjuru Daerah. Dengan fasilitas jalur aspal hotmix Pantai Jetis mudah di tempuh dari berbagai arah seperti: Sumpiuh, Kroya, Tambak, Gombong, Purwokerto, Cilacap dll.","JL. Gatot Subroto 14, Desa jetis, Kec. Nusawungu",Berkembang,Sedekah Laut dan Merdi Bumi,Olahan hasil laut (krupuk ikan),OlaJok / Kursi Bambu Wulung,"Calung/ lengger, kuda kepang, wayang kulit dan pencak silat","50 unit, 1 kamar, 2 tempat tidur",Pokdarwis Lembasita,40 Km,baik,ada,placeholder.jpg
Cilacap,Samudra Mandiri Sejahtera,Pantai Selatan Jawa,"Pantai Indah Widarapayung terletak di Pantai Wisata Selatan Jawa Samudra Hindia, tepatnya di Desa Widarapayung Wetan Binangun, Kab. Cilacap Jawa Tengah Indonesia. Pantai Indah Widarapayung selain menawarkan panorama yang indah juga sangat baik untuk bermain Selancar.","JL. Laut 4, RT/RW 24/06 Desa WID.Payung Wetan, Kec. Binangun",Berkembang,Layang-layang,"Peyek yutuk, kupat pecel dan mendoan",Batik wringin putih,Ebeg,"10 unit, 1 kamar, 2 tempat tidur",Pokdarwis Pantai Indah Widarapayung (PIW),35 Km,baik,ada,placeholder.jpg
Cilacap,Gentawisata,Tidak Ada,"Desa Gentawisata terletak di Desa Gentasari, Wisata Kec. Kroya, salah satu tempat wisata yang ada di Gentawisata ini adalah Moesium Susilo Soedarman, Moesium Susilo Soedirman ini ada salah satu daya tarik wisata yang sangat terkenal khususnya di Hari Raya Idul Fitri, para wisatawan banyak yang berkunjung ke Musium tersebut","JL. Temu Giring 1 N.4, Desa gentasari, Kec.Kroya",Berkembang,Festival Wellcome Dance,Minuman sari jahe,Kursi bambu wulung,Kuda kepang dan kenthongan,10 rumah,Pokdarwis Gentawisata,40 Km,Baik,ada,placeholder.jpg
Cilacap,Wagir Indah,Pantai,Tidak Ada,"JL. Satria, Deas Welahan Wetan, Kec. Adipala",Tidak Ada,Tidak Ada,"Kripik pisang, Emping",Tidak Ada,Tidak Ada,Tidak Ada,Pokdarwis Wagir Indah,Tidak Ada,Tidak Ada,Tidak Ada,placeholder.jpg
Cilacap,Cimendawai Indah,Curug dan Susur Sungai,Tidak Ada,"Desa Datar, Kec. Dayeuhluhur",Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Pokdarwis Cimendaway Indah,Tidak Ada,Tidak Ada,Tidak Ada,placeholder.jpg
Cilacap,"Bojong rongga Indah","Air","Desa Bojongsari Kec.Kedungreja Kab. Cilacap",Tidak Ada,Wayang kulit semalam suntuk dalam acara sedekah bumi,"Sale Goreng, Sale Basah, Mendoan / Tempe goreng","Caping, Sapu dari tepes kelapa, Kerajinan Tas",Kuda kepang,Tidak Ada,Pokdarwis,Tidak Ada,Tidak Ada,Tidak Ada,placeholder.jpg
Cilacap,Curug Geulis,Curug,Tidak Ada,"Desa Cisuru, Kec. Cipari",Tidak Ada,Tidak Ada,Pecel awung-awung,Furniture,"Kuda kepang, sintren, tek tek, hadroh dan terbang",Tidak Ada,Pokdarwis Curug Geulis,Tidak Ada,Tidak Ada,Tidak Ada,placeholder.jpg
Demak,Desa Wisata Agro Edukasi,"perkebunan buah klengkeng","mlatiharjo kec. Gajah kab. Demak",Tidak Ada,Tidak Ada,"botok sayur, pecelan jantung, minuman jamu coro","batik khas mlatiharjo, kerajinan boneka",kesenian barongan,20 Home Stay,Pokdarwis Melati Pesona,Tidak Ada,Tidak Ada,Tidak Ada,placeholder.jpg
Demak,Desa Mlatiharjo,Tidak Ada,"Desa Mlatiharjo terletak di Kecamatan Gajah. Merupakan desa penghasil produk-produk pertanian dengan kualitas unggulan, misalnya kelengkeng itoh, pepaya, sawo, dan sirkaya jumbo, serta beras merah dan beras hitam organic.","mlatiharjo kec. Gajah kab. Demak",Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,Tidak Ada,placeholder.jpg
