NAMA DESA,NAMA KABUPATEN,profil_desa
Desa Rakitan,Banjarnegara,"Goa Alam Watu Payung, Parung sungai merawu, Curug air terjun sauk, makam Ki Sekati dan Ni Sekati    tumpeng punar uduk, panggang mas, sayur besengek, sayur rontak-rontek, pecel lele sambal salak, nasi jagung, minuman kopi jembawuk, air degan hangat dan kelapa muda  Santi swara, Embleg (kuda kepang), kotekan lesung (tektek) "
Desa Wisata Pesangkalan,Banjarnegara,"Curug Pletuk, Curug Muncar, Kebun Kopi, Watu Desel, Tubing
 Petilasan Kyai Putih   Sowan Ngalas Nasi Inthil Topeng Kayu Kuda Kepang ( Ebeg ) "
Desa Blambangan ,Banjarnegara,"Curug Blimbing Kuda lumping, Rebana, Rodad/Peksimui       Desa Blambangan merupakan salah satu desa di Kecamatan Bawang Kabupaten Banjarnegara Propinsi Jawa Tengah. Secara greografis desa Blambangan berjarak 5 km dari ibu kota Kabupaten dan berada di jalur jalan Nasional Banjarnegara – Purwokerto. Dengan luas wilayah kurang lebih 330,8 hektar."
Berta ,Banjarnegara,"Pemandangan alam dengan konsep panjat tebing, curug dan agro wisata serta wisata edukasi Peninggalan budaya majapahit dan kearifan lokal, konsep museum benda – benda bersejarah antara lain kothekan, lesung dll Outbond, wisata edukasi mengenai sentra home industri idep, gula merah dan gula aren Bumi perkemahan, Trabas motor dan mobil, wisata religius dan agro wisata  Nasi merah, ondol, oyek, cimplung, sayur teri, jangan bung, jangan baladewa dan gatotkaca, gula merah, gula aren Bulu mata, rambut palsu, bithi, pembuatan tas, bata merah Kothekan lesung Desa Wisata Damarwulan adalah kawasan wisata terpadu seluas 99 Ha Terdiri dari dataran dan pegunungan dengan ketinggian 230 s/d 420 mdpl. Pemandangan alam yang sangat indah dengan sungai dan curug yang jernih diantara pegunungan dan sawah – sawah yang exotis dan menarik untuk dinikmati. Wisatawan tidak hanya bisa menikmati pemandangan alam tapi juga terdapat wisata buatan diantaranya outbond, agrowisata, panjat tebing dengan pegunungan batu yang menjulang serta disuguhi kesenian lokal dan paket wisata yang lain."
Karangsalam,Banyumas,"Curug Telu Nyadran/grebeg sadranan   Nyadran/grebeg sadranan Nasi Nyangku Kerajinan Akar Rotan Calung Remaja Secara administrasi desa Karangsalam termasuk dalam wilayah kecamatan Baturaden Kabupaten Banyumas. Dari ibukota kecamatan Baturraden berjarak kurang lebih 3 km, yang dapat ditempuh dengan angkutan umum dalam waktu 10 menit, dari pusat Kabupaten Banyumas berjarak 15 km, waktu tempuh kurang lebih 30 menit"
Kalisalak,Banyumas,"Curug Song,Bukit Mbulu Penjamasan Jimat Telaga Anteng,Rumah Adat ,Pertanian,Ind Gula Kelapa Wisata Religi Makam Karangbanar Penjamasan Jimat Cimplung Gula merah Ebeg ( Kuda kepang) Kebasen adalah sebuah kecamatan di Kabupaten Banyumas, Provinsi Jawa Tengah, Indonesia. Kecamatan Kebasen merupakan kecamatan dibagian selatan Kabupaten Banyumas. Kecamatan Kebasen berjarak 23 Km berkendara dari ibukota Kabupaten Banyumas yaitu Purwokerto melalui Kecamatan Patikraja. Kecamatan Kebasen termasuk kecamatan yang ramai karena merupakan pertemuan jalan nasional lintas selatan dan tengah yang menghubungkan wilayah Jawa Barat dan Pantura melalui Purwokerto dari arah barat dengan Kabupaten Cilacap dan wilayah ditimur seperti Kecamatan Sumpiuh hingga ke Kabupaten Kebumen, Daerah Istimewa Yogyakarta dan Jawa Timur."
6,Batang,        
Desa Kembanglangit,Batang,"Pegunungan, Hutan Pinus Kesenian Tradisional    Nasi Jagung Sambel Torek  Kesenian Kuntul, Lengger, Dengklung Desa kembanglangit adalah desa yang berada di wilayah Kecamatan Blado Kabupaten Batang Jawa Tengah Indonesia. Desa Kembanglangit juga berada di wilayah Hutan Pinus KPH Pekalongan Timur. Dengan kondisi alam yang sebagian besar adalah wilayah hutan pinus menjadikan desa Kembanglangit mempunyai potensi untuk dijadikan wisata alam. Jalan berkelok, Ketinggian tempat, Udara sejuk, Asri dan masih Alami tentunya. "
Desa Wisata Pandansari,Batang,"Tubing, Rafting, Outbound,Camping, Hiking     Opak Sambal  Seni Angklung, Tari Denok Deblong "
Keteleng,Batang,"Perkebunan Teh Kesenian Lokal Tradisional Outbond Heritage, MICE  Nasi Jagung, Opak Kerajinan dari limbah pohon teh, Panahan, Dll Lengger, Leak Jika sesekali Anda singgah di Kabupaten Batang, sempatkanlah untuk datang ke Kawasan Agrowisata Pagilaran. Hamparan pohon teh yang membentang sejauh mata memandang ditingkahi hembusan angin yang membawa hawa sejuk dijamin bisa menahan Anda untuk berlama-lama. Terletak di Kecamatan Blado, kecamatan paling selatan Kabupaten Batang, Pagilaran dapat dicapai dengan kendaraan pribadi ataupun kendaraan umum dalam waktu tidak lebih dari 1 jam dari pusat kota Batang. Selain dapat menikmati pemandangan alam yang hijau dan asri, kita juga bisa mengamati proses pembuatan teh di pabrik peninggalan Belanda yang masih terus beroperasi. Memang, kawasan perkebunan teh Pagilaran adalah salah satu bukti sisa-sisa kejayaan penjajahan Belanda di masa lalu. Berbagai peninggalan zaman kolonial masih terawat dengan baik di Pagilaran. Salah satunya adalah bangunan rumah Administratur Pabrik yang berarsitektur khas Eropa. Di samping itu, kita juga bisa melihat bekas kereta gantung yang dulu digunakan oleh para ‘sinyo dan noni’ Belanda untuk menikmati keindahan alam Pagilaran. Belum lengkap rasanya bila datang ke Pagilaran tetapi tidak melakukan tea walk pada pagi hari sambil menyaksikan terbitnya matahari di tengah hijaunya pepohonan teh. Oleh sebab itu, pengelola telah menyiapkan vila/homestay dan kamar bagi Anda yang ingin menginap. Bagi yang menginginkan privasi lebih dan berkantong agak ‘tebal’, bisa memilih menginap di vila/homestay. Namun, apabila anggaran Anda pas-pasan, bermalam di kamar sewa dengan tarif yang lebih terjangkau juga bisa menjadi pilihan. Untuk info lebih lanjuat seilahatkan kunjungi "
Desa Bawang,Batang,Genting Asri    Sedekah Nasi Jagung Nasi Jagung Acsesories ringan Lengger Budoyo 
Desa Wisata Silurah,Batang,"Air Terjun Kalirogno, Air Terjun Bidadari, Puncak Gunung Kobar Situs Arca Ganesha, Situs Punden Berundak, Situs Lingga dan Yoni
 Rumah Pohon Situmbu, Gardu Pandang
 Wisata Edukasi Pengolahan kopi, Pengolahan Teh, Pengolahan Gula Aren
 Nyadran Gunung Rogokusumo Kopi Silurah, Gones, Teh Silurah
 Kerajinan Angklung, Kerajinan Tanaman Hias Parijotho
 Kesenian Kuda Lumping, Kesenian Karawitan / Campur Sari
 "
Mustika Kamulyan,Batang,"Perkebunan teeh Lengger dan Tari Petik Out Bound, Danau buatan Panahan. Sepeda Air Festival Kesenian Tradisional & Sedekah Air Nasi Jagung Pemanfaatan Limbah Pohon Teh  Lengger & Tari Petik "
Desa Tunjungan,Blora,"Cemoro Pitu   Waduk Greneng & Agro wisata kampong durian dan Klapanan   Festival Durian Nusantara Ayam bakar Mbah Jami  Barongan Desa tunjungan memiliki beberapa Daya Tarik Wisata berupa cemoro pitu, waduk greneng, kampung durian Ngalwungan dan Agrowisata Klapanan"
Desa Wisata Kemasan “ DEWA EMAS ”,Boyolali,"mata air dan lahan pertanian Karawitan, Rondo Tektek dan Tari Topeng Ireng kolam Renang dan Wahana Out Bound UMKM Pembuatan krupuk kangkung dan UMKM pengolahan ikan Kirab Budaya Krupuk Kangkung dan Jamu Anyaman Bambu Karawitan, Rondo Tektek dan Tari Topeng Ireng Desa Wisata Kemasan “ DEWA EMAS” adalah    sebuah desa yang terletak dikecamatan Sawit, Kabupaten Boyolali"
Desa Wisata Lencoh,Boyolali,"Merapi- Merbabu trakking Kesenian Rakyat Turonggo setu, sedekah gunung merapi Gardu pandag New , Selo II. Home Theater Sedekah Gunung Merapi Bubur Centung, Jatah Tempe  Kesenian Rakyat “Turonggo Setu” Desa Wisata Lencoh Terletak di lereng, merapi dan Merbabu, wisata minat khusus trakking Merapi menjadi andalan"
Desa Wisata Suroteleng,Boyolali,"Gardu Pandang Bukit Batur, Tanjakan langit Petilasan kyai ageng rogobeo, sumartiban , guo jepang. Jalur offroad, observasi elang jawa , jaluir trail Sumur tiban Sedekah Gunung Merapi Jadah, Tempe Bacem  Kesenian Tradisional Rodat Desa Wisata Suroteleng berada di lereng gunung merapi ketinggian 1400 mdpl, suhu 18,  Menawarkan gardu pandang, bukit kapur, observasi elang jawa, tanjakan langit"
Desa Wisata Dewi Sambi ,Boyolali,"Gunung Merapi dan Merbabu Sedekah Gunung Merapi, Kesenian Tradisional            ( topeng ireng, buto nggedrok ). Perah susu sapi, petik sayur organik, pasar tiban Olahan permen susu, olahan kripik sayur, olahan dodol susu Sedekah gunung merapi, sadranan Jadah bakar, sayur centung, olahan susu, ( permen dan dodol ), kripik sayuran kerajinan dari bambu Tari soreng, turonggo setu, topeng ireng Desa wisata yang terletah diantara lembah gunung merapi dan gunung merbabu kabupaten Boyolali, pada ketinggian ± 1600 Mdpl, Menawarkan Kegiatan Trekking gunung merapi dan gunung merbabu"
Desa Wisata Wono Semar,Boyolali,"Konservasi Hutan Lindung Kesenian Rakyat, Kirab Budaya   Kirab Budaya  Gethuk Telo Anyaman Bambu Tari Rakyat Wayang berjarak  Wonosemar terletak di Kecamatan Simo, memiliki kawasan hutan yang sangat memiliki konservasi hitan lindung."
Desa Wisata “ ARGA KENCANA “,Boyolali,"Lahan Pertanian Sayuran, Wisata Alam Gunung Merbabu Metri Tuk Babon, Sadranan, Kesenian Topeng Ireng,  Kesenian Badui,  Kesenian Soreng, Kesenian Buto Cikrak, Kesenian Jantilan Campur Bawur, Kesenian Angguk, Kesenian Jaranan, Rebana Gardu Pandang Gancikk Hill Top, Wisata Agro tanam dan petik sayur, Wisata Adventure UKM Pembuatan Olahan Makanan berbahan Sayuran Ritual Sedekah Sumber Air pelaksanaan Safar ( Kalender Jawa ), Sadranan Pelaksanaan ( Ruwah, Syuro, Safar ) Ka;lender Jawa Makanan Ringan olahan barbahan Sayuran, Kripik Tales, Bobor Centung, Kesemek, Sambal Tumpang Pembuatan pakaian Topeng Ireng  Desa Wisata “ ARGA KENCANA “ adalah sebuah Desa yang terletak di daerah pegunungan dengan suasana yang Sejuk dan munyuguhi pemandangan Merapi dan merbabu, dengan memiliki daya tarik pertanian sayuran dan beraneka ragam seni dan budaya"
Paras,Boyolali," Wisata Sejarah dan Religi   Kirab Budaya  Bulan Asyura, budaya sadranan masyarakat desa Paras dan sekitarenya Sagon, aneka makanan olahan berbahan baku susu sapi  Seni Tari , Rodat Nusantara Pesanggrahan didirikan oleh sunan PB VI. Sekitar tahun 1803-1804 pesanggrahan tersebut merupakan bangunan megah. Pada tahun 1817 pesanggrahan diginakan sebagai tempat istirahat saat beliau melawat ke wilayah bagian barat serta menikmati keindahan alam dan melihat hasil perkebunan kopi saat itu. Pembangunan dilanjutkan secara lebih intensif pada masa Sri Susuhunan Pakubuwono X, yang memerintah dari tahun 1893-1939. Selama pemerintahannya,Pakubuwono X banyak Pracimoharjo. Karena kemegahannya, pesanggrahan ini dahulu seperti miniatur keraton terdiri dari pendapat, tamansari yang lengkap dengan keputrennya, dan dalem ageng yang biasa digunakan oleh Pakubuwono X untuk tetirah serta . taman dan halaman yang luas"
Malahayu,Brebes,"Pemandangan Waduk malahayu  Kampung Pelangi, BBM Pasti land   Me’ndo, Tape Ketan Daun Jambu Keramik Malahayu Hoe Gelo (Rotan Gila) Desa Malahayu merupakan salah satu dari 292 desa di Kabupaten Brebes yang sebagian besar penduduknya bermata pencaharian sebagai petani, buruh harian lepas, peternak, pengrajin gerabah,dll"
"Desa Kaliwlingi , Brebes",Brebes,"Hutan Mangrove  Seni Tradisi Pesisir (Sintren) Rehabilitasi mangrove, Eko Tourisme  Tracking Mangrove Jambore Mangrove, Rajah Bumi dan Air, Merti Bumi, Festival Pesisir, Sedekah Laut Aneka olahan berbahan dasar ikan, Opak Bodin Aneka Rasa, Kuliner laut nikan, udang, kepiting, kerang, urab anglur,  Kue mangrove,  Jipang, rengginang udang, cumi, Kepiting dan legram pemanfaatan limbah kerang untuk souvenir, batik mangrove pewarna alami. Sintren Bencana Sebagai Berkah dengan Menanam untuk meningkatkan ekonomi selaras alam."
Pandansari,Brebes,"Telaga Ranjeng, Wadas Kaca, Wisata Pertanian    Bobor daun waluh, Olahan jamur dan Kentang     Pandansari adalah desa di kecamatan Paguyangan, Brebes, Jawa Tengah, Indonesia.Desa ini berada di sekitar 14 kilometer arah timur dari pusat pemerintah kecamatan. Paguyangan Mayoritas penduduk desa Pandansari bekerja di sektor pertanian, yakni sayur mayur. Produk sayur mayur seperti wortel,kentang,kobis dipasarkan ke berbagai wilayah antara lain Banyumas dan Jakarta. Selain itu, sebagian warga lainnya bekerja sebagai buruh pemetik teh di kebun teh kaligua yang dikelola oleh PTPN IX Jateng.Selain pertanian, potensi peternakan juga cukup berkembang di desa yang berada di lereng gunung Slamet itu. Antara lain ternak yang dikembangkan, Domba Texel dan Sapi Peranakan Ongol (PO). Populasi Domba Texel saat ini berkisar 500 ekor, sementara untuk sapi PO tidak lebih dari 50 ekor karena baru dikembangkan mulai pertengahan 2009.Selain sektor pertanian dan peternakan, Desa Pandansari memiliki potensi wisata yang luar biasa. Antara lain Agrowisata Kebun Teh Kaligua dan Telaga Ranjeng. Lokasinya dapat ditempuh dengan berbagai jenis kendaraan dengan kondisi jalan beraspal hotmik."
Desa Wisata Winduasri,Brebes,"Ngabaur Jeung Alam (Menyatu Bersama Alam)     Tape Ketan, Sale Pisang, Lahang, Sayur Pakis Anyaman bambu, Caping Lontar Tari jaipong  Desa Winduasri merupakan salah satu desa  dari 21 desa  di Kecamatan Salem kabupaten Brebes, Karena budaya gotong royong  di desa ini sangat kental dan hubungan antara masyarakat  dengan Aparat desa serta desa dengan Kecamatan dan Kabupaten sudah terjalin baik  tak heran desa ini jalan dalam desanya sudah diaspal dan tempat musyawarah dengan lapisan masyarakat  setempat. Desa ini berada di dalam hutan sehingga untuk menuju Ibukota Kecamatan  harus melewati hutan dengan jarak 12 Km ,untuk  matapencaharian  yang utama adalah pertanian, sebagian masyarakatnya mempunyai pekerjaan tambahan sebagai penyadap getah pinus,industri rumah tangga  yaitu industri gula aren, peternak kerbau dan sapi potong. Ada keunikan  di desa  ini  yaitu jumlah penduduk  375 orang terdiri  laki-laki 194 orang dan perempuan 181 orang,kepadatan  penduduk 85 jiwa/Km2 sehingga rata-rata jiwa per rumah tangga 4,2 jiwa.  desa Winduasri yang sejuk dalam kedamaian ,yang aman dalam kesejahteraan dan yang tenang dalam peribadatan serta yang jauh di ujung pandang Ibukota Kecamatan Salem."
Kampung Adat jalawastu,Brebes," Rumah adat Jalawastu, Ngasa, Guyam Kuwu, Baribit, Benta-Benti.   Ngasa Nasi Jagung  Hoe Gelo (Rotan Gila) Kampung Budaya Jalawastu merupakan sebuah komunitas adat masyarakat yang berada di antara lereng Gunung Kumbang dan Gunung Sagara, Komunitas ini melestarikan sebuah tradisi Sunda Jawa. Lokasi tepatnya komunitas Jalawastu di Desa Ciseureuh, Kecamatan Ketanggungan, Kabupaten Brebes, Jawa Tengah. Secara geografis Desa Ciseureuh merupakan desa paling selatan dan salah satu dari 3 desa di kecamatan Ketanggungan yang kebanyakan warganya menggunakan bahasa sunda brebes. Akses untuk menuju Jalawastu masih berupa jalanan batu karena Jalawastu merupakan daerah pegunungan terjal. Jumlah rumahnya selalu tetap yaitu 110 rumah dengan jumlah kepala keluarga 128. Selain pantangan bagi penghuninya juga banyak pantangan bagi warga lain yang hendak berkunjung ketempat tersebut. Misalnya, ada tempat yang tidak boleh membawa sesuatu yang terbuat dari kulit (sepatu kulit, dompet kulit, sabuk kulit dan lainnnya)."
Kampung Wisata Limbangan Wetan,Brebes,"  Home Industri / Pengrajin   Telor Asin, Bandeng Presto, Bawang Goreng Pengrajin Rambut (Sanggul, Wig), Accesoris Manik-manik  Berdasar cerita tutur tinular sesepuh desa, asal mula Desa Limbangan tidak bisa dipisahkan dengan jaman kolonial Belanda. Berdirinya Desa Limbangan karena perjuangan dari nenek moyang yang bubak yoso ( babat hutan ) yang dulunya merupakan alas gong liwang liwung (hutan rimba). Tiga orang tersebut bernama Eyang Jogo Singowidjoyo, Eyang Ali, dan Eyang Suro. Mereka bermusyawarah untuk menghentikan penggembaraannya dan ingin mendirikan gubug-gubug di wilayah yang mereka temukan tersebut. Itulah yang dikatakan oleh Eyang Jogo “ wahai wargaku yang saya sayangi, mulai saat ini tidak boleh ada orang asing yang jika meninggal di makamkan di makam sebelah Timur, makam sebelah Timur hanya boleh ditempati oleh warga keturunan asli dusun ini. Apabila ada yang menentang akan terjadi hal yang menimpa dusun ini. ” Dari sumpah yang diucapkan oleh nenek moyang dusun tersebut yaitu Eyang Jogo maka sampai saat ini pun tidak ada yang berani memakamkan jenazah yang bukan asli warga Limbangan di makam sebelah Timur. Pernah ada yang mencoba untuk memakamkan bayi yang bukan keturunan dusun Limbangan di makam sebelah Timur dan pada akhirnya jenazah tersebut ditolak oleh makam sebelah Timur. Kejadian itu bermula pada pukul 12 malam yang terjadi hujan lebat yang disertai guntur yang sangat keras, kemudian jenazah yang dimakamkan pada siang hari pun terpelentang keluar dan hanyut di sungai dusun tersebut. Kejadian yang sangat mencekamkan tersebut menjadi pembelajaran bagi warga dusun Limbangan akan sumpah yang pernah diucapkan oleh nenek moyang mereka"
Karangbanar,Cilacap,"Pantai/ Laut, Pemancingan alam muara kali ijo Sedekah laut dan Merdi Bumi Kolam renang Agro wisata, keliling mangrove, home industri Sedekah Laut dan Merdi Bumi Olahan hasil laut ( krupuk ikan ) OlaJok / Kursi Bambu Wulung Calung/ lengger, kuda kepang, wayang kulit dan pencak silat Desa Wisata Karangbanar terletak di wilayah Paling timur Kabupaten Cilacap yang merupakan Daerah tujuan wisatawan dari berbagai penjuru Daerah. Dengan fasilitas jalur aspal hotmix Pantai Jetis mudah di tempuh dari berbagai arah seperti : Sumpiuh, Kroya, Tambak, Gombong, Purwokerto, Cilacap dll. Dengan rute perjalanan jalur umum sekurangnya ada 4 rute khusus angkutan wisata baik bus kendaraan roda empat atau kendaraan pribadi lainnya., terdiri dari 3 (tiga) Destinasi Tujuan yaitu : Pantai Congot, Pantai Bungso dan Pantai Cemarasewu"
Samudra Mandiri Sejahtera,Cilacap,"Pantai Selatan Jawa Ritual Sedekah Laut, Lengger , Ebeg dan Sedekah Bumi Kolam renang, agro wisata, kolam pancingan, batik  Layang - layang Peyek yutuk, kupat pecel dan mendoan Batik wringin putih Ebeg Pantai Indah Widarapayung terletak di Pantai Wsata Selatan Jawa Samudra Hindia, tepatnya di Desa Widarapayung Wetan Binangun, Kab. Cilacap Jawa Tengah Indonesia. Kabupaten Cilacap tidak hanya terkenal dengan Pantai Teluk Penyu dan Benteng Pendem namun ada pula Pantai Widarapayung. Pantai Indah Widarapayung yang terletak sekitar 35 km ke arah timur dari Cilacap. Pantai Indah Widarapayung selain menawarkan panorama yang indah juga sangat baik untuk bermain Selancar. Pantai ini memang tidak luas namun pemandangannya sangat menarik perhatian karena dipagari pohon – pohon kelapa."
Gentawisata,Cilacap," Museum Soesilo Soedaraman Kolam renang dan kolam pancingan  Festival Wellcome Dance Minuman sari jahe Kursi bambu wulung Kuda kepang  dan kenthongan Desa Gentawisata terletak di Desa Gentasari, WisataKec. Kroya, salah satu tempat wisata yang ada  di Gentawisata ini adalah Moesium Susilo Soedarman, Moesium Susilo Soedirman ini ada salah satu daya tarik wisata yang sangat terkenal khususnya di Hari Raya Idul Fitri, para wisatawan banyak yang berkunjung ke Musium tersebut"
Wagir Indah,Cilacap,"Pantai     Kripik pisang, Emping   "
Cimendawai Indah,Cilacap,Curug dan Susur Sungai        
"Bojong rongga Indah
",Cilacap,"Desa wisata Bojongrongga indah adalah Wisata
Air  budaya Sunda dan budaya Jawa ,dari budaya Sunda Rongeng dari budaya Jawa Lenger Banyumasan,kuda kepang Angsa- Angsaan
 pemancingan Ikan air tawar  Wayang kulit semalam suntuk dalam acara sedekah bumi
 Sale Goreng, Sale Basah, Mendoan / Tempe goreng
 Caping, Sapu dari tepes kelapa, Kerajinan Tas
 Kuda kepang "
Curug Geulis,Cilacap,"Curug   Religi petilasan  H.Nursaleh,  Mbah Tombo,  Raden Kamsi,Langlangbuwana, Santiwangi dan Bangsajaya  Pecel awung-awung  Furniture Kuda kepang, sintren, tek tek, hadroh dan terbang "
Desa Wisata Agro Edukasi,Demak,"perkebunan buah klengkeng,  kesenian barongan, karawitan green house tanaman buah dan sayur   botok sayur, pecelan jantung, minuman jamu coro batik khas mlatiharjo,kerajinan boneka  kesenian barongan "
Desa Mlatiharjo ,Demak,"  agrowisata dan wisata edukasi      Desa Mlatiharjo terletak di Kecamatan Gajah. Merupakan desa penghasil produk-produk pertanian dengan kualitas unggulan, misalnya kelengkeng itoh, pepaya, sawo, dan sirkaya jumbo, serta beras merah dan beras hitam organic. Spesifikasi desa wisata ini adalah di agrowisata dan wisata edukasi. Di desa Mlatiharjo pengunjung bisa memperoleh informasi lengkap mengenai tata cara pengembangan pertanian organik dan ramah lingkungan. Pengunjung juga berkesempatan untuk melakukan praktek pertanian, misalnya cara menyiapkan media dan bibit yang baik, mencangkok, okulasi, stek, menanam padi di sawah, dan berbagai macam kegiatan pertanian lainnya. Mereka akan langsung dibimbing oleh petugas yang berpengalaman dan ahli di bidang pertanian. Pengalaman ini merupakan pengalaman yang seru dan tak terlupakan terutama bagi para siswa sekolah sehingga mereka mendapatkan pengetahuan dari mana dan bagaimana proses beras dihasilkan."
